"Message [line by line, broken up as a series of DMs would be]",Label [3=sextortion] [2=redflag:extortion][1=redflag:explicitcontent],Source
"Hi Emma, I have to ask you something. Kinda important.",0,Buster Hernandez Case
How many guys have you sent dirty pics to cause I have some of you?,1,Buster Hernandez Case
yeah i figured it was more. I already know at least 1 of the guys you sent too since thats who I took from.,0,Buster Hernandez Case
Why would I tell you that? I took without permission. I could get in a lot of trouble if it leads back to me. You would just snitch,2,Buster Hernandez Case
Can you keep whatever I tell you about it between me and you?,2,Buster Hernandez Case
i dont know if i trust that but ok we can talk about it. I'll text you.,0,Buster Hernandez Case
And if I do decide to show your friends and family? What do you think everyone would say about you?,2,Buster Hernandez Case
I want more pics of you. New ones taken right now.,0,Buster Hernandez Case
"yes [in response to ""like sexual pics?"" from the victim]",1,Buster Hernandez Case
do it and I’ll drop everything.,2,Buster Hernandez Case
That’s what I want next. You have a pretty face. It ruins it when you cut I out. I promised you everything will be deleted.,0,Buster Hernandez Case
first off. What if i decided to show all your friends and family? big deal or no? what do you think everyone would say about you?,2,Buster Hernandez Case
I guess that would be fucked up but I want to see what everyone will say about you. should be interesting,2,Buster Hernandez Case
ok i will prove that its you. I'll post them on facebook like i planned. I'll include all the information i have as well. That should prove to everyone.,2,Buster Hernandez Case
So what do you think I should do instead? just not show anyone? delete? thats asking a lot.,2,Buster Hernandez Case
i dont need a reason. I can do whatever the fuck i want just for fun? what are you gonna do about it? cry?,2,Buster Hernandez Case
i'll delete but I want something in return. I want more pics of you. new ones taken right now. do that and I'll delete everything and drop it.,2,Buster Hernandez Case
ok we can talk about it. I haven't shown anyone just yet but that's what we need to talk about mostly.,0,Buster Hernandez Case
no thanks. you still have not answered my earlier question. what do you think all your friends and family will say about you?,0,Buster Hernandez Case
why dont you think for a second? why would i tell you who i am if im planning on showing everyone?,2,Buster Hernandez Case
so you dont know what everyone will say about you? there is video of you masturbating,3,Buster Hernandez Case
you never done anything to me. I guess that would be fucked up if i did. But I want to see what everyone would say about you. should be interesting.,2,Buster Hernandez Case
just texted me so now i know you are telling people. Yeah you're fucked. Im going to ruin you.,2,Buster Hernandez Case
:).,0,Buster Hernandez Case
get on your facebook. You are missing the show,0,Buster Hernandez Case
last chance. do what i asked and I'll stop now,2,Buster Hernandez Case
you cant escape. You cant hide. I promise you. I will show every single person who has ever met you. I promise you that,2,Buster Hernandez Case
blocking or deleting your facebook wont work. already added your friends. already messaged your family. im waiting for replies,2,Buster Hernandez Case
and what lies did you figure out? I think you are to dumb to figure anything out.,0,Buster Hernandez Case
forget it. I just realized i dont care what you have to say. I wated enough time Def. talking to your skanky ass too much today. k take your clothes off.,1,Buster Hernandez Case
then how did I end up with pics of you in the first place? how did a bunch of guys end up with them.,0,Buster Hernandez Case
nope. you sure as hell didnt send them to me. I got them from someone else.,0,Buster Hernandez Case
thats what im referring too,0,Buster Hernandez Case
"no skank. lets continue now. i dont got all night. I got a life, unlike you",0,Buster Hernandez Case
hey. continue later today,0,Buster Hernandez Case
what do u mean maybe? ;(,0,Buster Hernandez Case
Thats not very nice. you have to much attitude.,0,Buster Hernandez Case
u are mean so im gonna be mean back. you have to continue right,2,Buster Hernandez Case
now!!!! so go find a bathroom fool,0,Buster Hernandez Case
start,0,Buster Hernandez Case
find bathroom like i said dude,0,Buster Hernandez Case
refusing to do what i ask? aww hell naw. we gotta huge problem right now.,2,Buster Hernandez Case
you should have thought about that before you wanted to be a rude bitch. hurry tf up and get on it idgaf,0,Buster Hernandez Case
start with 1 normal. then I'll give u a list so you can go quick,0,Buster Hernandez Case
now.,0,Buster Hernandez Case
hurry tf up. you think im playing with your bitch ass?,0,Buster Hernandez Case
this is gonna end bad....you have 5 minutes to send what i asked.,2,Buster Hernandez Case
start. make the video at least a minute long. avoid glare like last time.,0,Buster Hernandez Case
